script,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
Caucasian_Albanian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kharoshthi,0.0,0.0,0.0,0.0,0.0,4.615384615384615,0.0,0.0,0.0,0.0
Old_Turkic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meroitic_Hieroglyphs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osmanya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarati,0.0,1.2048192771084338,1.1904761904761905,0.0,7.0588235294117645,0.0,0.0,0.0,0.0,0.0
Grantha,0.0,0.0,2.4096385542168677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dives_Akuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coptic,5.46875,1.4814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyiakeng_Puachue_Hmong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pau_Cin_Hau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thaana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nag_Mundari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bassa_Vah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tangut,0.0,0.0,0.0,0.0,0.0,0.07266385699752943,0.08713331397037467,0.3192106790481718,0.0,0.0
Batak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Uyghur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Runic,0.0,10.256410256410257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rejang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tai_Viet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tifinagh,3.6363636363636362,3.508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nko,0.0,0.0,0.0,0.0,0.0,5.084745762711864,0.0,0.0,0.0,0.0
Elbasan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shavian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New_Tai_Lue,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Masaram_Gondi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cypro_Minoan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Hungarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SignWriting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deseret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anatolian_Hieroglyphs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayah_Li,0.0,-2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tibetan,6.153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lao,0.0,3.076923076923077,0.0,0.0,0.0,0.0,22.388059701492537,0.0,0.0,1.2195121951219512
Linear_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
