script,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,pt
Rejang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elbasan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dogra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meroitic_Hieroglyphs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Han,6.133854967165013,0.0039494470774091624,7.5971196503560945,0.0,9.168766975799544,0.005603622181378043,0.0,5.570809005636928,0.011676786548341896,4.450459056413522,32.94223951117823
Glagolitic,0.0,0.0,0.0,40.42553191489362,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,41.940683430045134
Meroitic_Cursive,0.0,0.0,246.15384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.15384615384616
Modi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Turkic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479338842975207,0.0,2.479338842975207
Old_North_Arabian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pahawh_Hmong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lycian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Uyghur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tirhuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warang_Citi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cherokee,0.0,0.0,102.3529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.3529411764706
Mahajani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coptic,5.46875,1.4814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.950231481481481
Tai_Viet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ol_Chiki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vithkuqi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nushu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaithi,0.0,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,0.0,1.492537313432836,0.0,3.0076888285843513
Inscriptional_Parthian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inherited,13.449023861171366,7.648183556405353,0.0,0.17761989342806395,0.7092198581560284,0.176056338028169,0.351493848857645,0.3502626970227671,14.659685863874346,0.0,37.52154591694374
New_Tai_Lue,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75
Ahom,0.0,0.0,0.0,0.0,0.0,1.7543859649122806,0.0,0.0,12.068965517241379,0.0,13.82335148215366
Sundanese,0.0,30.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.90909090909091
Gurmukhi,2.5974025974025974,0.0,0.0,0.0,0.0,1.2658227848101267,0.0,0.0,0.0,0.0,3.863225382212724
Tifinagh,3.6363636363636362,3.508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1451355661881975
Deseret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manichaean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tangut,0.0,0.0,0.0,0.0,0.0,0.07266385699752943,0.08713331397037467,0.3192106790481718,0.0,0.0,0.47900785001607593
Nyiakeng_Puachue_Hmong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old_Hungarian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myanmar,141.02564102564102,18.617021276595743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.64266230223677
Osage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nandinagari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limbu,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0303030303030303
Khmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tai_Tham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malayalam,25.641025641025642,1.0204081632653061,1.0101010101010102,14.0,2.6315789473684212,0.0,0.0,0.8547008547008547,0.0,0.0,45.15781461646124
Latin,18.411214953271028,5.6037884767166535,0.8221225710014948,0.07412898443291327,0.0,0.2222222222222222,0.9608277900960828,0.5856515373352855,7.3508005822416305,0.4067796610169492,34.437536778334255
Kayah_Li,0.0,-2.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0833333333333335
Avestan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pau_Cin_Hau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buhid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyrillic,47.292418772563174,5.637254901960785,0.6960556844547564,2.0737327188940093,0.0,0.0,0.0,0.0,0.0,14.221218961625283,69.920681039498
Buginese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhaiksuki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khitan_Small_Script,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hatran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Runic,0.0,10.256410256410257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.256410256410257
Greek,0.9881422924901185,0.9784735812133072,0.0,0.3875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,2.354212772928232
Arabic,8.799171842650104,18.363463368220742,1.045016077170418,1.7501988862370723,0.07818608287724785,0.078125,0.0,0.78064012490242,5.731990704879938,0.21978021978021978,36.84657230671816
Armenian,0.0,3.3333333333333335,0.0,0.0,0.0,2.150537634408602,0.0,1.0526315789473684,0.0,0.0,6.536502546689304
Syriac,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,14.285714285714286
Tagbanwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mende_Kikakui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bamum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phags_Pa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sora_Sompeng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Takri,0.0,0.0,0.0,0.0,0.0,0.0,1.5151515151515151,0.0,1.492537313432836,0.0,3.0076888285843513
Tibetan,6.153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.153846153846154
Adlam,0.0,0.0,0.0,0.0,0.0,0.0,1.1494252873563218,0.0,0.0,0.0,1.1494252873563218
Imperial_Aramaic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
